time,xa,ya,xb,yb
0.0,0.0,10.0,0.0,10.0
0.1,0.004142135623731167,9.99,0.010000000000000002,9.99585786437627
0.2,0.008284271247462335,9.98,0.020000000000000004,9.991715728752538
0.3,0.0124264068711935,9.97,0.03,9.987573593128806
0.4,0.01656854249492467,9.96,0.04000000000000001,9.983431457505075
0.5,0.020710678118654055,9.95,0.05,9.979289321881346
0.6,0.024852813742385224,9.94,0.06,9.975147186257615
0.7,0.02899494936611638,9.93,0.06999999999999999,9.971005050633883
0.8,0.03313708498984756,9.92,0.08000000000000002,9.966862915010152
0.9,0.03727922061357872,9.91,0.09000000000000001,9.962720779386421
1.0,0.041421356237309886,9.9,0.1,9.95857864376269
1.1,0.045563491861041056,9.89,0.11000000000000001,9.95443650813896
1.2,0.049705627484772225,9.88,0.12,9.950294372515227
1.3,0.05384776310850162,9.87,0.13,9.946152236891498
1.4,0.05798989873223276,9.86,0.13999999999999999,9.942010101267767
1.5,0.06213203435596393,9.85,0.15000000000000002,9.937867965644037
1.6,0.06627416997969512,9.84,0.16000000000000003,9.933725830020306
1.7,0.07041630560342627,9.83,0.17,9.929583694396573
1.8,0.07455844122715743,9.82,0.18000000000000002,9.925441558772842
1.9,0.0787005768508886,9.81,0.19,9.921299423149112
2.0,0.08284271247461977,9.8,0.2,9.91715728752538
2.1,0.08698484809834917,9.79,0.21000000000000002,9.91301515190165
2.2,0.09112698372208033,9.78,0.22000000000000003,9.90887301627792
2.3,0.09526911934581145,9.77,0.22999999999999998,9.904730880654188
2.4,0.09941125496954267,9.76,0.24,9.900588745030458
2.5,0.10355339059327384,9.75,0.25,9.896446609406727
2.6,0.10769552621700501,9.74,0.26,9.892304473782994
2.7,0.11183766184073618,9.73,0.27,9.888162338159264
2.8,0.1159797974644673,9.72,0.27999999999999997,9.884020202535533
2.9,0.12012193308819846,9.71,0.29,9.879878066911802
3.0,0.12426406871192786,9.7,0.30000000000000004,9.875735931288073
3.1,0.12840620433565908,9.69,0.31000000000000005,9.87159379566434
3.2,0.13254833995939025,9.68,0.32000000000000006,9.86745166004061
3.3,0.13669047558312136,9.67,0.33,9.863309524416879
3.4,0.14083261120685253,9.66,0.34,9.859167388793148
3.5,0.1449747468305837,9.65,0.35000000000000003,9.855025253169416
3.6,0.14911688245431487,9.64,0.36000000000000004,9.850883117545685
3.7,0.1532590180780461,9.63,0.37000000000000005,9.846740981921954
3.8,0.15740115370177543,9.62,0.38,9.842598846298225
3.9,0.16154328932550654,9.61,0.39,9.838456710674494
4.0,0.16568542494923777,9.6,0.4,9.834314575050762
4.1,0.16982756057296888,9.59,0.41,9.830172439427031
4.2,0.1739696961967001,9.58,0.42000000000000004,9.8260303038033
4.3,0.17811183182043122,9.57,0.43,9.82188816817957
4.4,0.18225396744416245,9.56,0.44000000000000006,9.817746032555837
4.5,0.18639610306789356,9.55,0.45,9.813603896932106
